paper,pose,bx,reachablePhi,commandedPhi,blocked,clearance
0.2,0,-33,155,155,false,0.5807561480994731
0.2,0.005,-33,155,155,false,0.5807561480994731
0.2,0.01,-33,155,155,false,0.5807561480994731
0.2,0.015,-33,155,155,false,0.5807561480994731
0.2,0.02,-33,155,155,false,0.5807561480994731
0.2,0.025,-33,155,155,false,0.5807561480994731
0.2,0.03,-33,155,155,false,0.5807561480994731
0.2,0.035,-33,155,155,false,0.5807561480994731
0.2,0.04,-33,155,155,false,0.5807561480994731
0.2,0.045,-33,155,155,false,0.5807561480994731
0.2,0.05,-33,155,155,false,0.5807561480994731
0.2,0.055,-33,155,155,false,0.5807561480994731
0.2,0.06,-33,155,155,false,0.5807561480994731
0.2,0.065,-33,155,155,false,0.5807561480994731
0.2,0.07,-33,155,155,false,0.5807561480994731
0.2,0.075,-33,155,155,false,0.5807561480994731
0.2,0.08,-33,155,155,false,0.5807561480994731
0.2,0.085,-33,155,155,false,0.5807561480994731
0.2,0.09,-33,155,155,false,0.5807561480994731
0.2,0.095,-33,155,155,false,0.5807561480994731
0.2,0.1,-33,155,155,false,0.5807561480994731
0.2,0.105,-33,155,155,false,0.5807561480994731
0.2,0.11,-33,155,155,false,0.5807561480994731
0.2,0.115,-33,155,155,false,0.5807561480994731
0.2,0.12,-33,155,155,false,0.5807561480994731
0.2,0.125,-33,155,155,false,0.5807561480994731
0.2,0.13,-33,155,155,false,0.5807561480994731
0.2,0.135,-33,155,155,false,0.5807561480994731
0.2,0.14,-33,155,155,false,0.5807561480994731
0.2,0.145,-33,155,155,false,0.5807561480994731
0.2,0.15,-33,155,155,false,0.5807561480994731
0.2,0.155,-33,155,155,false,0.5807561480994731
0.2,0.16,-33,155,155,false,0.5807561480994731
0.2,0.165,-33,155,155,false,0.5807561480994731
0.2,0.17,-33,155,155,false,0.5807561480994731
0.2,0.175,-33,155,155,false,0.5807561480994731
0.2,0.18,-33,155,155,false,0.5807561480994731
0.2,0.185,-33,155,155,false,0.5807561480994731
0.2,0.19,-33,155,155,false,0.5807561480994731
0.2,0.195,-33,155,155,false,0.5807561480994731
0.2,0.2,-33,155,155,false,0.5807561480994731
0.2,0.205,-33,155,155,false,0.5807561480994731
0.2,0.21,-33,155,155,false,0.5807561480994731
0.2,0.215,-33,155,155,false,0.5807561480994731
0.2,0.22,-33,155,155,false,0.5807561480994731
0.2,0.225,-33,155,155,false,0.5807561480994731
0.2,0.23,-33,155,155,false,0.5807561480994731
0.2,0.235,-33,155,155,false,0.5807561480994731
0.2,0.24,-33,155,155,false,0.5807561480994731
0.2,0.245,-33,155,155,false,0.5807561480994731
0.2,0.25,-33,155,155,false,0.5807561480994731
0.2,0.255,-33,155,155,false,0.5807561480994731
0.2,0.26,-33,155,155,false,0.5807561480994731
0.2,0.265,-33,155,155,false,0.5807561480994731
0.2,0.27,-33,155,155,false,0.5807561480994731
0.2,0.275,-33,155,155,false,0.5807561480994731
0.2,0.28,-33,155,155,false,0.5807561480994731
0.2,0.285,-33,155,155,false,0.5807561480994731
0.2,0.29,-33,155,155,false,0.5807561480994731
0.2,0.295,-33,154.0049484405232,154.0049484405232,false,0.5431471093819767
0.2,0.3,-33,150.47751590516495,150.47751590516495,false,0.4293188216418629
0.2,0.305,-33,147.01202157280142,147.01202157280142,false,0.3678490146805751
0.2,0.31,-33,143.60240860310262,143.60240860310262,false,0.3165537311954648
0.2,0.315,-33,140.24298336364458,140.24298336364458,false,0.16630908026344243
0.2,0.32,-33,136.96473501917717,136.92837239474102,true,0.020000000000000327
0.2,0.325,-33,136.96473501917717,133.65348374309534,true,0.020000000000000327
0.2,0.33,-33,136.96473501917717,130.41347203357486,true,0.020000000000000327
0.2,0.335,-33,136.96473501917717,127.20370673588066,true,0.020000000000000327
0.2,0.34,-33,136.96473501917717,124.0197431553483,true,0.020000000000000327
0.2,0.345,-33,136.96473501917717,120.85729573713714,true,0.020000000000000327
0.2,0.35,-33,136.96473501917717,117.71221332272714,true,0.020000000000000327
0.2,0.355,-32.97442689142119,136.50192669595202,117.31146412853107,true,0.02000000000000332
