paper,pose,angle,bx,act,phi,currentBoxArea,candidateTipArea,candidateArmArea
0.2,0,100,-33,0,155,0,0,0
0.2,0.001,100,-33,0,155,0,0,0
0.2,0.002,100,-33,0,155,0,0,0
0.2,0.003,100,-33,0,155,0,0,0
0.2,0.004,100,-33,0,155,0,0,0
0.2,0.005,100,-33,0,155,0,0,0
0.2,0.006,100,-33,0,155,0,0,0
0.2,0.007,100,-33,0,155,0,0,0
0.2,0.008,100,-33,0,155,0,0,0
0.2,0.009,100,-33,0,155,0,0,0
0.2,0.01,100,-33,0,155,0,0,0
0.2,0.011,100,-33,0,155,0,0,0
0.2,0.012,100,-33,0,155,0,0,0
0.2,0.013,100,-33,0,155,0,0,0
0.2,0.014,100,-33,0,155,0,0,0
0.2,0.015,100,-33,0,155,0,0,0
0.2,0.016,100,-33,0,155,0,0,0
0.2,0.017,100,-33,0,155,0,0,0
0.2,0.018,100,-33,0,155,0,0,0
0.2,0.019,100,-33,0,155,0,0,0
0.2,0.02,100,-33,0,155,0,0,0
0.2,0.021,100,-33,0,155,0,0,0
0.2,0.022,100,-33,0,155,0,0,0
0.2,0.023,100,-33,0,155,0,0,0
0.2,0.024,100,-33,0,155,0,0,0
0.2,0.025,100,-33,0,155,0,0,0
0.2,0.026,100,-33,0,155,0,0,0
0.2,0.027,100,-33,0,155,0,0,0
0.2,0.028,100,-33,0,155,0,0,0
0.2,0.029,100,-33,0,155,0,0,0
0.2,0.03,100,-33,0,155,0,0,0
0.2,0.031,100,-33,0,155,0,0,0
0.2,0.032,100,-33,0,155,0,0,0
0.2,0.033,100,-33,0,155,0,0,0
0.2,0.034,100,-33,0,155,0,0,0
0.2,0.035,100,-33,0,155,0,0,0
0.2,0.036,100,-33,0,155,0,0,0
0.2,0.037,100,-33,0,155,0,0,0
0.2,0.038,100,-33,0,155,0,0,0
0.2,0.039,100,-33,0,155,0,0,0
0.2,0.04,100,-33,0,155,0,0,0
0.2,0.041,100,-33,0,155,0,0,0
0.2,0.042,100,-33,0,155,0,0,0
0.2,0.043,100,-33,0,155,0,0,0
0.2,0.044,100,-33,0,155,0,0,0
0.2,0.045,100,-33,0,155,0,0,0
0.2,0.046,100,-33,0,155,0,0,0
0.2,0.047,100,-33,0,155,0,0,0
0.2,0.048,100,-33,0,155,0,0,0
0.2,0.049,100,-33,0,155,0,0,0
0.2,0.05,100,-33,0,155,0,0,0
0.2,0.051,100,-33,0,155,0,0,0
0.2,0.052,100,-33,0,155,0,0,0
0.2,0.053,100,-33,0,155,0,0,0
0.2,0.054,100,-33,0,155,0,0,0
0.2,0.055,100,-33,0,155,0,0,0
0.2,0.056,100,-33,0,155,0,0,0
0.2,0.057,100,-33,0,155,0,0,0
0.2,0.058,100,-33,0,155,0,0,0
0.2,0.059,100,-33,0,155,0,0,0
0.2,0.06,100,-33,0,155,0,0,0
0.2,0.061,100,-33,0,155,0,0,0
0.2,0.062,100,-33,0,155,0,0,0
0.2,0.063,100,-33,0,155,0,0,0
0.2,0.064,100,-33,0,155,0,0,0
0.2,0.065,100,-33,0,155,0,0,0
0.2,0.066,100,-33,0,155,0,0,0
0.2,0.067,100,-33,0,155,0,0,0
0.2,0.068,100,-33,0,155,0,0,0
0.2,0.069,100,-33,0,155,0,0,0
0.2,0.07,100,-33,0,155,0,0,0
0.2,0.071,100,-33,0,155,0,0,0
0.2,0.072,100,-33,0,155,0,0,0
0.2,0.073,100,-33,0,155,0,0,0
0.2,0.074,100,-33,0,155,0,0,0
0.2,0.075,100,-33,0,155,0,0,0
0.2,0.076,100,-33,0,155,0,0,0
0.2,0.077,100,-33,0,155,0,0,0
0.2,0.078,100,-33,0,155,0,0,0
0.2,0.079,100,-33,0,155,0,0,0
0.2,0.08,100,-33,0,155,0,0,0
0.2,0.081,100,-33,0,155,0,0,0
0.2,0.082,100,-33,0,155,0,0,0
0.2,0.083,100,-33,0,155,0,0,0
0.2,0.084,100,-33,0,155,0,0,0
0.2,0.085,100,-33,0,155,0,0,0
0.2,0.086,100,-33,0,155,0,0,0
0.2,0.087,100,-33,0,155,0,0,0
0.2,0.088,100,-33,0,155,0,0,0
0.2,0.089,100,-33,0,155,0,0,0
0.2,0.09,100,-33,0,155,0,0,0
0.2,0.091,100,-33,0,155,0,0,0
0.2,0.092,100,-33,0,155,0,0,0
0.2,0.093,100,-33,0,155,0,0,0
0.2,0.094,100,-33,0,155,0,0,0
0.2,0.095,100,-33,0,155,0,0,0
0.2,0.096,100,-33,0,155,0,0,0
0.2,0.097,100,-33,0,155,0,0,0
0.2,0.098,100,-33,0,155,0,0,0
0.2,0.099,100,-33,0,155,0,0,0
0.2,0.1,100,-33,0,155,0,0,0
0.2,0.101,100.28306967822783,-33,0,155,0,0,0
0.2,0.102,100.56613935645568,-33,0,155,0,0,0
0.2,0.103,100.8492090346835,-33,0,155,0,0,0
0.2,0.104,101.13227871291133,-33,0,155,0,0,0
0.2,0.105,101.41534839113916,-33,0,155,0,0,0
